0.00s:  What's up outliers?
4992.94s:  So also, Roryntitty, the other funny part about your comment is there's a dude that I like
4998.34s:  a lot, his name's Richard Friesen.
5001.50s:  He comes on my podcast periodically.
5003.74s:  We have another, we have another podcast episode coming up.
5011.22s:  So we're going to, and that's exactly what he does.
5013.86s:  He opened up a prop room for a while.
5015.90s:  He trained traders and then essentially he coached them.
5019.70s:  So yeah.
5022.94s:  That is the pitch on cognitive biases.
5030.26s:  Let's take a look at a couple other things.
5037.14s:  And then for those that otherwise, if you have any questions or any specific topics, theories,
5044.50s:  anything like that that you want to take a look at now is the correct time to start
5048.06s:  throwing those in before we wrap up.
5051.62s:  Here's the next question.
5053.78s:  Explain what Bayesian statistical model is or what Bayesian statistics are.
5057.94s:  And the reason I'm asking you this is because if you're a trader, I think this is probably
5063.70s:  the only way to think.
5068.46s:  That's a little lopsided, but that's what I personally think, but I can understand
5073.74s:  how people might not.
5078.30s:  Vladimir says over time, did you move to trade a higher percentage of indices and ETFs
5086.66s:  than single stocks, not a higher percentage, but definitely a higher weighting of the portfolio.
5093.70s:  And that's just because it becomes easier as the portfolio grows to scale, it becomes
5099.38s:  really difficult to find enough things to put individual trades on in like it's doable,
5105.74s:  but it's really, really arduous.
5107.82s:  And then you still have to fight with liquidity on a lot of them.
5112.10s:  It's funny because when you look at options, there's a lot of things that offer options,
5120.54s:  but the number of things that offer liquid options, there's less than a thousand of them.
5125.10s:  And even that is like really generous.
5127.98s:  So your world gets collapsed down really fast as your account grows.
5134.42s:  So one of the issues that you'll find is finding things that you might have an idea on,
5140.70s:  but it becomes untradable because you can't really put on a position that makes sense even
5145.34s:  for what you want.
5148.22s:  So there's nothing at all wrong with trading individual equities or securities.
5155.14s:  It's completely okay.
5157.14s:  But I think it has to be really centered around what makes sense for the trader in their
5163.54s:  book.
5164.54s:  Because even right now, I don't have a ton of trades on.
5167.46s:  I took a bunch down this week.
5168.54s:  I have less than a hundred trades on right now.
5171.26s:  But the overwhelming majority of my exposure is in indices.
5177.34s:  It's in futures.
5179.26s:  And then the residual, I have tons of individual trades on an individual product, but they're
5184.86s:  much, much smaller.
5186.74s:  And it's just because so I can get in at a reasonable price and trades the effects that
5190.18s:  I want to.
5194.54s:  Let's see.
5195.86s:  So for Bayesian modeling is resets updating info when given new updates.
5204.18s:  That's about right.
5206.18s:  Roaring Titty says no idea.
5210.50s:  Never learned statistics or probabilities.
5212.90s:  So I was actually thinking about, do I have, I don't know if I ever made that video.
5216.82s:  I think I have that on my to do list.
5219.14s:  Let me see.
5220.14s:  I got like a basic statistics for traders.
5225.70s:  I don't yet.
5226.70s:  Let me make sure I add that to my to do list.
5230.70s:  Yeah, I have it in here, but I'll move it up.
5236.38s:  So basic statistics for option traders.
5242.70s:  And I mean, you guys already know like I'm very statistics minded.
5246.54s:  So it's like a, it's a massive part.
5249.46s:  How I view the world, how I go about analyzing things.
5253.58s:  It's not even from trading necessarily.
5255.54s:  It's just the way that my brain works in terms of analyzing the world.
5259.58s:  This comes from like the military you frame things in a statistical analysis.
5265.86s:  So the main thing to consider when we talk about something like Bayesian statistical modeling,
5273.66s:  this is the technical component to one of the concepts I highlight hopefully all the
5279.70s:  time for you, which is a phrase I use called strong convictions loosely held.
5286.30s:  All this means is I'm going to go is hard as possible to develop a thesis.
5292.58s:  I'm going to do research.
5294.02s:  I'm going to test ideas.
5295.70s:  I'm going to exhaust the resources available to me at a given point in time to understand
5301.06s:  something.
5302.06s:  Whether that's creating a strategy, whether that's modeling a trade, whatever it is.
5307.10s:  The idea behind Bayesian statistics is once there's new information, you update your prior
5315.06s:  conclusions.
5316.98s:  And this is a giant trap for a lot of traders because as a person, your taught or socially
5324.66s:  influenced that if you change your opinion, then you're wrong.
5329.30s:  You're proving that you're wrong and that's bad.
5332.42s:  People will look at you and be like, oh, they were wrong about that.
5335.42s:  Ha, ha, ha.
5337.42s:  And meanwhile, it's like it's literally the dumbest thing I can think of because one of
5344.14s:  them, like the highest forms of intellect is to be able to have a really well formed idea
5350.86s:  and then pivot as soon as there's something that contradicts the idea.
5355.94s:  The problem is that our ideas and bias becomes part of our identity.
5363.86s:  It becomes part of who you are.
5367.06s:  And if you allow that attachment to happen, it's a fucking disease.
5371.66s:  And you get so stuck in these different things that you've heard that you've researched
5379.74s:  and you believe a lot in and then you're unwilling to update the analysis because it's
5386.18s:  now a representation of all the work you put in, all those people you told about X, Y,
5391.22s:  or Z. And the idea of switching now becomes intolerable.
5397.50s:  That is straight disease.
5400.86s:  In trading, I think you have absolutely have got to adopt the ability to be wrong all
5408.66s:  the fucking time and not care.
5412.38s:  Not care in the least.
5414.46s:  If you're wrong for stupid mistakes, of course, that's care about that a lot, right?
5419.34s:  The things you can control.
5420.94s:  But the things that if you're receiving new data and you're hesitant to update a thesis
5425.46s:  or an idea because you're too attached to your prior despite good evidence to the contrary,
5431.34s:  that's a problem.
5433.14s:  So when I think about stuff like that, I think that traders get wrapped up in yet another
5440.94s:  psychological shortfall like that, which is kind of a problem.
5447.98s:  I'm getting caught up on the chat.
5452.82s:  Wigglywarm says, serious question, I find myself looking at the options chain as a beginner
5456.42s:  selling cash to your puts or covered calls on the next day.
5458.78s:  Price jumps a ton.
5459.78s:  I feel like I'm selling contracts a week early.
5464.06s:  You will you're exhibiting a bunch of different biases, believe it or not.
5469.70s:  So when you're thinking about what you're doing is you're honing in on very specific
5477.66s:  data points for whatever reason.
5485.70s:  So you're using this, you're using this and essentially what's happening in this.
5500.30s:  These are like the, I don't know, the three I would highlight that you're committing
5505.50s:  most readily when I see that.
5508.54s:  Wigglywarm is essentially you have a grossly incomplete data sample that you're drawing
5514.46s:  broad conclusions from.
5516.78s:  And you're using my guess is if you have a trade log, I would guess again, this isn't
5521.90s:  to like throw shade, but my guess is you don't have a trade log that we could look through
5526.62s:  and actually quantify the number of times that that happens.
5531.62s:  And my guess is if we did, the sample would be very small.
5535.90s:  What we would call completely insignificant.
5537.94s:  And again, that's not like throwing shade.
5539.94s:  It's just a statistical term.
5541.26s:  If a sample doesn't have enough occurrences, we would call it statistically insignificant.
5546.54s:  So I think in your scenario, you probably need to paper trade more.
5552.58s:  Again, nobody, I have a video hopefully coming out tomorrow.
5555.54s:  I'm waiting to see if my editor can wrap it up super quick.
5559.58s:  But I don't know if it'll be done.
5565.94s:  Wigglywarm says I've been thinking I need something, but I guess I don't even know
5568.26s:  what to log.
5569.26s:  It's really cool because I have a video about this exact thing.
5574.34s:  Here you go.
5577.90s:  So that video there, it's a little bit old, it's from last year, but it talks about essentially
5583.54s:  creating trading plans, trading logs and literally how to create your own trading documentation
5590.82s:  so that we can track things more effectively as what it boils down to.
5595.86s:  But yeah, I think that's all that's happening with you.
5599.26s:  Roryntitty says you should become a professor at UCSD.
5606.50s:  I think I would hate that.
5608.50s:  Absolutely hate that.
5609.50s:  It's a hilarious idea.
5610.50s:  I do love teaching, but I would hate that.
5613.94s:  I think like collegiate, I don't really, I don't know, man, like I did undergrad and grad.
5619.98s:  I don't mind college, but I much rather do this stuff honestly on YouTube and make it
5624.82s:  way more accessible to people that don't necessarily have the resources to go to college.
5630.30s:  I also think college is price gouge, the living shit out of people which drives me crazy.
5637.34s:  So I mean, and the funniest part is I literally have no professional training at all in finance.
5643.02s:  I mean, I say that all the time, which is hilarious, isn't it?
5646.70s:  I think about that a lot.
5647.70s:  I have a couple people in the mentoring program, like at least three of them that I know that
5653.54s:  have some sort of advanced degree finance economics.
5659.26s:  I even have a ex professional trader from a large bank that's in there, which is just
5667.94s:  classic to me.
5668.94s:  The fact that like I am, I literally am the village idiot.
5671.78s:  I have no professional training in any of this stuff.
5674.58s:  I just have a lot of time and effort that I put into it.
5678.70s:  Like I tell you guys, at least if you look on like the website and stuff, it's well
5683.14s:  over 30,000 hours that I've put into studying and exploring markets.
5688.54s:  If you look at a lot of times in the discord, like if you look at what I, when I post stuff,
5695.46s:  I post stuff, you know, that I'm reading and I'll do it like at night and it's, it's
5700.10s:  hilarious because I'll look over at my wife and she'll be reading like a normal book about
5703.70s:  something and I'm literally reading white papers.
5706.98s:  So yeah, it's just, I am a really different kind of self-taught generally finance, but
5715.02s:  I do apply a lot of the skills that I learn in college specifically with respect to
5719.62s:  like statistics.
5720.94s:  That's probably the most useful thing that I learned in college is statistics.
5727.06s:  Lord Slothable says, learn Greeks.
5728.74s:  I have a playlist for you, my friend.
5731.14s:  That is options 101.
5733.78s:  So in this options 101 playlist, I think you should watch the options video, the intro
5740.78s:  to options video.
5742.30s:  And then I think you should look at there's a video on there specifically on the Greeks.
5746.26s:  Vladimir says, I've talked to an OG pit traders that have zero education beyond high school
5750.98s:  and were as, and were as blue collar as brick layers.
5755.26s:  Yeah, the problem is is like pit trading is completely different.
5759.18s:  And again, that's not to like shit on them.
5761.10s:  But they're edges built in as long as they can keep up with volume and pace, their
5769.06s:  edge is already built in being on the floor.
5771.80s:  So that's why it's so expensive to, well, it used to be so expensive to buy a seat on
5776.58s:  the trading floor is because it literally is giving somebody an edge.
5781.96s:  So yeah.
5785.32s:  I think, I think, yeah, the fact that pit traders are untrained typically, that's like actually
5793.28s:  very common.
5794.68s:  But it's for a specific reason.
5796.36s:  It's because they literally don't need the skill set for what they do.
5802.08s:  Weatley says, thanks so much for being approachable and coming out with a coach of mentality.
5805.28s:  Yeah, happy to.
5806.28s:  I literally love this stuff.
5808.40s:  One of the things the mentor that introduced me to investing back in high school is coming
5813.40s:  out this month to come spend a few days with us.
5816.24s:  And it's like, I look at essentially where my life has gone as a result of him introducing
5821.64s:  me to a couple concepts.
5823.52s:  Then I had an mentor that I kind of worked with online in, in directly, who isn't like
5829.00s:  a personal mentor that I would like call and talk to.
5831.84s:  But I would still extract a lot of information from him.
5835.40s:  And because of people like that, it's like literally has changed the direction of my life
5839.72s:  wholesale.
5841.00s:  So I am one of those people that I really enjoy helping people.
5844.92s:  It makes me feel good.
5846.24s:  And I think it's important to pay forward skills that we have.
5849.08s:  So I literally enjoyed doing this.
5850.80s:  It's super fun.
5852.52s:  Joey says, I met an old professional on the street and said he knew Frank Russell and
5857.84s:  said that I should only trade the spot.
5859.60s:  I mean, that's not a bad.
5861.76s:  It really for like most, if I didn't know somebody from a hole in the wall, I would tell
5867.44s:  them to trade spy too.
5868.92s:  Like if you read the blog post that I made for that one friend that I use is like my general
5873.88s:  introduction to trading for everybody that knows nothing, if you read through that, like
5878.72s:  that's what exactly what I would do is for somebody that doesn't know much about stuff
5883.08s:  and not looking to learn a whole bunch, I put them directly into spy for sure.
5890.08s:  But hopefully we know that that is not the only show on the block at all because it ain't.
5901.96s:  I think that's, I mean, I have way more quiz questions, but that's all I had planned
5906.04s:  for today.
5908.00s:  So if you guys have anything else that you want to hit on, let me know.
5912.08s:  We can tackle those, look through any of that stuff.
5916.44s:  And then otherwise we'll get ready to wrap up in a few minutes.
5920.20s:  Vladimir says retail stock trading has been around a lot longer than the internet.
5925.08s:  My grandfather traded and just checked in nightly news, newspaper.
5927.60s:  Yeah, that's so cool.
5928.60s:  I literally think that that's like such an OG way to trade.
5932.84s:  It's like, yeah, I love that so much.
5935.92s:  I think it's so sick.
5939.48s:  Reese says who you got in the UFC tomorrow.
5941.40s:  That's a great question.
5942.40s:  I think I do think Sean O'Malley will, man, I know he, well, again, probabilistic, right?
5950.04s:  I know Sean O'Malley is the favorite over Marab, but I like Marab a lot.
5953.84s:  I think that he's a really good fighter.
5955.64s:  He's on like a 10 fight win streak.
5957.56s:  So I'm legitimately very curious how Marab will do because Sean is elusive, but if Marab
5969.44s:  can like grapple with him, I think that would be very difficult.
5976.40s:  So yeah, Vialobos says anytime to look at an options trade on GME could wait till Saturday,
5981.96s:  though, yeah, we can take a look.
5984.28s:  Yeah, Vialobo, let me know we want to take a look at happy to.
5988.40s:  Okay, baby.
6000.44s:  Yeah, we got to get the, we got to get the old boss of the outfit.
6007.88s:  He's here ready to go.
6010.76s:  Sorry.
6011.76s:  He does, he does that really cool thing when I asked, watch, watch this.
6016.48s:  If I, I get like a double paw.
6025.48s:  I don't think he's learned the difference between like single paw and multiple paws because
6031.40s:  whenever we go for a paw, you just get both.
6033.56s:  Which I guess is nice.
6035.12s:  It's kind of like, I don't know, it's like a bow go paw.
6040.72s:  Vialobos says, I want to sell a covered call and then buy a long call leap, make money
6048.88s:  on the short term with the sold calls long overall.
6051.56s:  Yeah, so it's kind of like, that's kind of like a ratio call diagonal.
6058.56s:  Yeah, I would consider that like a ratio call diagonal.
6067.08s:  So there's, yeah, there's nothing wrong with that.
6071.56s:  You can absolutely do something like that.
6074.36s:  And I think the volatility in there also looks good.
6077.52s:  So Paul says, what's this breed's temperament like?
6082.72s:  He's a straight homey.
6083.80s:  He just, he lives for the team.
6087.28s:  He's energetic when you are, he's chill when you are like he's, yeah, he's awesome.
6092.40s:  He's a multi-sputle.
6094.28s:  So don't let his, don't let his current hyena appearance because he has a mohawk, put
6101.24s:  a mohawk on him because I think it's sick.
6104.08s:  Don't let that confuse you.
6105.84s:  He's a straight homey.
6106.76s:  Um, so yeah, Vialo, I think that's fine.
6116.36s:  I, the way that I set those up, we can take a quick look.
6119.60s:  You mean, and then Vladimir off Putin says, if you started a series on options trading
6125.36s:  in meme stocks, your subs would hit 100K in a month, that's funny.
6129.32s:  I don't even, I don't look at meme stocks that much.
6132.64s:  That's the problem is like, I like looking at them.
6135.76s:  Especially stuff like GameStop because it's just so interesting to me.
6140.48s:  And I like being a part and trying to help the community learn about options.
6145.36s:  But like from a pragmatic standpoint, it's such a small part of what I do is an options
6150.00s:  trader, right?
6151.00s:  Like the way that I make my money is so, so different.
6154.16s:  And I think for a lot of options traders and meme stocks, I would be trying to convert
6162.08s:  all of them into what I would consider to be hopefully like a more, a higher probabilistic
6169.00s:  approach to like making something because that's the big fear I have for a lot of the
6173.16s:  meme stock traders.
6176.32s:  And that's me unfairly projecting like my hopes for people because who knows, man,
6181.84s:  like some people really might not care and they might just hope that they hit the
6185.04s:  fucking lotto.
6186.04s:  And that's okay.
6188.04s:  Vladimir says my point is that new traders flock to the Reddit meme.
6193.80s:  Yeah, which I think is, I think it's completely fair.
6197.32s:  Yeah.
6198.32s:  I think it's completely fair.
6200.28s:  Vialoba says, does the ratio work if you're using all your shares for covered calls?
6206.16s:  No, you have to maintain a ratio.
6209.44s:  So let's say for example, we have 500 shares of GameStop at Spot Price.
6216.68s:  And then let's say that we wanted to buy some further out of the money options or further
6222.36s:  out in time options.
6223.76s:  Let's say we buy these at the money's here.
6227.16s:  Let's say we get like two of those, maybe three.
6231.68s:  So here our maximum deltas that we have here, 800 deltas.
6237.32s:  So in this case, if I sell five calls against my shares, I maintain a positive ratio here.
6249.04s:  And the reason why I maintain a positive ratio here is because I still have uncapped
6255.72s:  long deltas that can max out to the upside.
6258.32s:  Right?
6259.32s:  So I have 500 deltas from these.
6260.80s:  I get 300 deltas from these.
6262.56s:  I have a maximum of negative 500 deltas from these.
6266.00s:  So then that would give me uncapped 300 deltas.
6268.92s:  But it's all about the ratio.
6271.16s:  Because if you sold eight, well now you have a problem.
6274.80s:  Now you have capped upside because you're at a one to one ratio between total max long
6280.64s:  deltas versus short deltas.
6283.24s:  So it's entirely dependent on the delta ratio that you're maintaining with the trade.
6289.52s:  I get open the door for the pup.
6296.00s:  So yeah.
6305.76s:  If as long as you're thoughtful about that, you can maintain kind of your desired upside
6312.12s:  potential.
6313.12s:  The main thing I would consider though is I would be very, very, very, very reluctant to
6319.20s:  try or to permit my upside being capped on something.
6323.32s:  And the reason why I would be so reluctant to do that is because the primary compensation
6328.52s:  you get for trading stuff like this is upside, unlimited upside.
6335.72s:  So if you start giving that up, that's kind of a problem.
6339.96s:  I got to get cut up on the chat.
6348.20s:  Rowan Titi says, do you show live trades?
6350.20s:  Do you think you could show you live paper trading?
6352.72s:  I don't think so.
6354.64s:  I think I've thought about that and I did it for a little while.
6359.28s:  And what ends up happening is the exact opposite of what my intention is behind that.
6366.60s:  My intention behind anything like that is to try to show people the application of the
6371.60s:  skill set, but showing people while I'm doing it live becomes problematic because I have
6377.96s:  people that just start trying to do what I do.
6381.24s:  And then I start getting hit up with a lot of different emails about asking how they
6387.00s:  should manage a position that they know that I put on.
6389.64s:  And it's like, I want to stay away from that with a not even a 10 foot pole, a fucking
6394.08s:  60 foot pole.
6395.68s:  So what I do now as a bit of a middle ground is for the, for the Patreon folks, what I tend
6402.72s:  to do is like, I'll post in the discord slightly delayed purposefully when I put on different
6410.60s:  trades, not all of them.
6412.96s:  And the other thing I'll do is I'll walk through my actual trades, how I'm managing them,
6419.44s:  how I'm finding them when I do the outlier pro live streams.
6423.64s:  Like that's exactly what I do in those.
6425.76s:  When I do the YouTube live streams, it's more meta talking about the markets trades,
6429.64s:  and questions stuff like that.
6431.32s:  And then the pro live streams are just way more like getting into the exact weeds of
6436.20s:  what I'm doing, but it's not live and it won't be live.
6440.28s:  It's slightly, it's slightly to, yeah.
6445.92s:  So that last one, roaring city for on demand, absolutely.
6450.32s:  Yeah.
6451.32s:  And we've done that before, even in this.
6453.68s:  So yeah, on demand is cool too, because we can do like a previous point in time, right?
6458.92s:  We can pick a random point in time that none of us know what happens and we can play the
6462.46s:  game from there.
6463.46s:  Absolutely.
6464.46s:  That's no problem at all, because that also completely takes away anybody's, you know,
6469.48s:  gumption to copy what I'm doing if we know we're back in 2012, right?
6475.12s:  There's literally no reason to copy anything I'm doing today based on that.
6479.36s:  So yeah, absolutely.
6480.36s:  Paper trading, entirely possible.
6482.12s:  Happy to do that for sure.
6485.84s:  And I've done that before because I think it's kind of fun.
6489.28s:  So yeah, that's a absolutely chill recommendation.
6498.20s:  Paul says, how many active trades do you have at a time?
6500.68s:  I would say on average, somewhere between five and 20, on average, like the overall bulk
6511.04s:  of my trading career, I think it's very common for me to land.
6515.76s:  Between like 20 and 100.
6519.00s:  And I would say like the majority, yeah, the majority is probably like 25 to 50.
6529.48s:  I say average because when the market is just kind of right, if I look across my trading
6534.40s:  career, there's pro long periods of time, because I started trading in 2007.
6539.72s:  There's pro long periods of time where the market was just upsloping to the right.
6543.44s:  So it's about as easy as it gets leveraged long products.
6549.68s:  You don't need that many of them.
6551.56s:  So in those instances, like if I think about the average holding across a trading career,
6555.92s:  it gets skewed by that.
6557.92s:  If I look over from like 2020 to present, it's probably closer to like the like I said,
6564.40s:  maybe 20, 20 to 50 trades at a time, something like that.
6568.96s:  So I don't like over diluting what I do.
6572.88s:  And if I'm putting on more trades, the vast majority of those are actually going to be
6578.08s:  variance risk premiums, volatility risk premiums plays, like just kind of turning things
6582.72s:  out.
6584.32s:  Most of my like capital is committed to a much smaller set of trades, less than 10 for
6589.52s:  sure.
6590.52s:  Absolutely less than 10.
6591.88s:  There will be periods where it's two, there will be periods where it may be five or
6595.40s:  six, but most of the capital is typically tried up in just a handful of core positions.
6600.76s:  And then all the speculative stuff is kind of done in the background as it fits.
6607.96s:  Roaring Titi says you have that many zero DTs simultaneously.
6610.48s:  No, not zero DTs.
6612.52s:  Those are just all different kinds of trades, definitely not limited to zero DTs.
6617.68s:  Zero DTs, I like them.
6621.36s:  I like them for a few things, but they're actually a pretty small part of the total portfolio
6629.76s:  for me.
6631.28s:  So yeah, I definitely run zero DTs like every day, but it's a high frequency trade, but
6637.28s:  it's a low risk allocation trade for me.
6640.96s:  Vladimir Offpun says Eric, I built a spreadsheet using TQs to start pricing.
6650.20s:  Off to beat the returns, even letting it ride through 2002.
6654.52s:  Yeah, I mean, whenever we do something in hindsight, it always looks so beautiful,
6659.60s:  doesn't it?
6660.60s:  But the problem is, again, if we take a look at the actual performance of it, it has a
6666.76s:  lot of problems.
6670.76s:  So if we do something like clear this, we go TQs, we just go 100%.
6680.16s:  And we want to go back, I'll go back as far as this lets me, the 2015.
6685.96s:  So anything you're doing, oh, you mean through 22?
6691.48s:  Yeah, so if you look at the performance of this from inception and you can go back further,
6698.56s:  but to go back further, you just have to create a surrogate, which is completely fine.
6705.48s:  That's what a lot of people do to try to test this over a longer term timeframe.
6709.80s:  But yeah, like it's completely doable.
6713.60s:  But the problem is, is you're going to go through periods that are like horrifically ugly,
6720.00s:  like terribly ugly, right?
6722.08s:  So the worst drawdown here, 79%, and this isn't even like an 0809 drawdown.
6729.92s:  There's some variations of this that you'll look at in an 0809 drawdown that go illiquid,
6738.28s:  that literally blow up.
6740.04s:  So the question then you have to ask yourself is, if you have $10,000 and you watch that
6745.08s:  decline by 80%, like who cares, right?
6748.52s:  It's 10 grand.
6749.88s:  But if you have your life wealth, let's say it's $5 million and you watch that contract
6755.92s:  by 80%.
6757.12s:  I don't think you're sitting in it.
6759.16s:  I don't think anybody's fucking sitting in that.
6760.84s:  I'm not sitting in that.
6761.84s:  There's no way.
6763.32s:  And it's because you are faced with now in uncertainty going forward, right?
6769.68s:  When we back test, it's so easy to find things that perform.
6773.80s:  I can show you back test that perform even better than this.
6776.44s:  That look great.
6777.68s:  But the problem is, is that when we're looking forward into the future, is AI going to
6783.72s:  become regulated?
6784.88s:  Is technology actually not going to be the bell of the ball like it was for the last
6788.84s:  15 years, which has been really the last 25 years almost now?
6792.16s:  It's been, tech has been everything, but does that continue into forever?
6796.76s:  I imagine tech would be highly productive, but I'm just talking about in this scenario,
6802.04s:  tech might not be.
6803.28s:  And especially again, if you have your $5 million that's now down 80% or as it's down
6808.48s:  40%, you're like, shit, I know this went down 80 before.
6811.92s:  And again, if I actually hold this through like an 0809 equivalent when it's not even
6815.80s:  specific to tech, but a broad market meltdown, then am I okay watching my $5 million declined
6822.32s:  by 98% and then my only hope at that point is to just sit and wait for it to recover.
6830.28s:  I don't know, man.
6831.68s:  And a lot of that's also going to depend on your time frame.
6834.44s:  I like leverage ETFs.
6835.76s:  I trade T triple cues, not seeing anything bad about it.
6840.16s:  I think people, I think what you're doing in that context is called, again, let's go
6846.72s:  to the old handy dandy website.
6848.72s:  I'll show you exactly what it's called.
6851.00s:  This one I made up by the way, I don't think this one is actually from anywhere, but this
6855.60s:  one, Goldilocks analysis.
6859.04s:  It's easy to look back and be like, yeah, man, 70% draw down that kind of sucks, but a 34%
6865.20s:  compound annual growth rate.
6866.56s:  Like that's pretty sick.
6868.72s:  So yeah, sure, I'll take a 70% draw down and 80% draw down for a 35% compound annual
6873.88s:  growth rate, but this is looking back in time.
6877.16s:  So like, for example, if I could make the decision today to go back to 2015 and put all of the
6884.36s:  money I had in time into T triple cues, you just let it go.
6887.28s:  Sure.
6888.28s:  Why not?
6889.28s:  No problem.
6890.28s:  Because I know the outcome.
6891.28s:  I know it's still pretty solid, but it's not quite as clear as that because if we take
6896.00s:  a look at something like T triple cues, once you get into three times leverage, you're
6900.32s:  outside of the Goldilocks zone.
6902.72s:  And I don't mean it in terms of Goldilocks analysis.
6904.68s:  I mean, in terms of performance, it still has not gotten back to all time highs.
6909.64s:  It still has not.
6911.24s:  If I look at something like spy, it has and it's posting new highs.
6917.96s:  If I look at a two times leveraged ETF, which is a better long term buy and hold leveraged
6922.28s:  ETF, it did hit new highs fell down.
6925.56s:  But it absolutely beat these previous highs.
6928.64s:  If I look at something like T triple cues, that is not what happened.
6933.52s:  It's the closest it got was within six points or so, but not quite.
6938.20s:  It still hasn't got back to break even from its all time high.
6943.28s:  So volatility drag is a thing.
6947.56s:  And this spreadsheet you have is totally cool.
6949.64s:  Again, I'm not trouncing on leverage ETFs.
6952.44s:  I use them.
6953.76s:  I use them in my retirement accounts for things that I trade less frequently, but I don't
6959.56s:  use three times leveraged because I know I can look at historic market data.
6965.64s:  And I can find that the optimal leverage is typically around like 2.3.
6969.60s:  Now you can create a surrogate 2.3 leverage with something like T triple cues by offsetting
6975.00s:  it with another product and just scaling the positions.
6978.00s:  But it doesn't change the behavior of the product itself, which is a daily leveraged
6981.60s:  product.
6983.12s:  So yeah, I don't hate them at all, but I just think it's so important to understand what
6987.24s:  they are, how they behave, how they fit into things and how we think we might actually
6993.20s:  behave.
6994.20s:  Again, as you watch, prospectively, if you put a bunch of money into it, like the bulk
7001.04s:  of your wealth climbing down, but even 30% is not super great, then you start getting
7008.12s:  into like 50%.
7009.92s:  If that takes you from, again, your $5 million, that takes you down to two and a half, clearly,
7016.44s:  right?
7017.44s:  That's just the math.
7018.44s:  But if you think of that from like a functional standpoint, a livelihood standpoint, that is
7023.60s:  a massive material change in your resources.
7029.12s:  The difference between a $2.5 million net worth and a $5 million net worth is significant,
7034.96s:  absolutely significant.
7036.88s:  So if you're planning on retiring, you have your $5 million, you have a conservative lifestyle
7041.32s:  so you don't need a bunch of money, you can live off of it, you can stand inflation,
7045.24s:  you can stand when costs pop up once in a while, you can do all that with your $5 million
7050.32s:  account if you choose to retire early.
7052.32s:  At a $2.5 million account?
7054.32s:  Probably not.
7055.32s:  Probably not.
7056.32s:  You're going to run out of money more likely than not.
7058.96s:  Unless you're super conservative and stuff like that, it doesn't give you the same playing
7064.12s:  field.
7065.12s:  So again, nothing wrong with leveraged funds, but I think it's so dangerous to look at
7069.60s:  their historic performance and then to over, like look at them with rosy colored glasses,
7077.36s:  rose colored glasses.
7078.36s:  What, where is that saying from?
7080.08s:  What does that even mean?
7081.88s:  Hold on one second, I have to look that up.
7085.36s:  I like to look up things like that.
7087.48s:  What is the origin of rose colored glasses?
7093.20s:  Let's see.
7094.20s:  Rose.
7096.20s:  Rose colored glasses or rose tinted glasses refers to the tenancy and overly optimistic early
7103.88s:  literary use.
7105.60s:  The phrase appeared in literary works during the 19th century.
7110.32s:  One of the earliest uses of the phrase is attributed to Thomas Corlyle, a Scottish philosopher
7116.92s:  and essayist who referred to people seeing the word through rose colored spectacles in
7122.32s:  his work.
7123.32s:  Love that.
7124.32s:  Suggest the metaphor was used in like the 30s and 40s.
7128.52s:  I got to be honest, that's actually like super, super cool.
7132.76s:  Did not know that.
7133.92s:  Vladimir says I'm not suggesting go all in, but so many are skeptical about T-Triple Q.
7140.24s:  Well, I think people are skeptical about leveraged funds because they misunderstand what leverage
7144.12s:  is and what things like volatility to K are.
7147.44s:  A lot of people believe when you're holding something like a volatility or a leveraged asset,
7152.28s:  that is just like falling apart in your hands on a daily basis.
7155.76s:  That's not the case at all.
7157.32s:  There's cost.
7158.72s:  Again, one of the frictions in something like T-Triple Q's is not small.
7162.92s:  It's like a 4% year penalty on your return.
7166.28s:  That's just general cost from the rebalancing.
7169.56s:  It's not like an insignificant hurdle to get over, but that's not the end of the world.
7173.80s:  If you're trading something, that's going up massively.
7177.32s:  This doesn't include volatility to K, which will chew you up to the downside.
7182.12s:  That's why when you're trading something like leveraged ETFs, it's so important to use
7185.56s:  some sort of system.
7187.96s:  Because again, if you go through a bad path, you can get absolutely mangled.
7193.60s:  If you look at this move here, this is no joke.
7195.80s:  This went from 85 down to 48.
7200.80s:  It did that in a month.
7204.04s:  That's a really nasty move.
7208.84s:  If you think about leveraged ETFs, again, they look really good because as of lately,
7214.84s:  they've performed really well.
7216.84s:  But they don't always do that.
7220.00s:  US equity leveraged ETFs, I like them a lot.
7222.64s:  I use things like SSO and QLD all the time myself.
7225.64s:  Like I said, those are my other accounts.
7227.84s:  Because I like two times leveraged for longer term holdings because the drag is less.
7234.84s:  The reward is less, but the standard deviation is different.
7238.48s:  When I look at the performance of something like Teachable Q's, it's fantastic.
7244.80s:  If I look at my compound annual growth rate, which right now is 26%.
7250.88s:  If we look at the compound annual growth rate for Teachable Q's over its lifespan, which
7255.96s:  is a shorter duration than mine to be clear.
7258.64s:  But let's take a quick look.
7260.52s:  Because I think it's what, like low 30s.
7264.36s:  But then if you look at its standard deviation, it's like over 50%.
7269.84s:  Which is essentially like the inverse of what mine is.
7275.72s:  Let me see.
7276.72s:  Clear these.
7277.72s:  I had Teachable Q's back.
7280.72s:  100%.
7282.72s:  Look.
7283.72s:  34% compound annual growth rate.
7290.24s:  Yeah.
