0.00s:  What's up everyone?
4420.76s:  the upside. That's not saying that there's others that couldn't work, not even saying that there
4424.76s:  are others that could work better. But I would go through that process as I'm trying to build the
4431.24s:  long option strategy to the upside. So you can naturally exclude things if you already have suitable
4439.96s:  strategies that do what you want them to do from the jump. So we take all of these and then we test
4446.60s:  them. We test them with a large data set. We then segment the data into smaller components. We test
4452.68s:  it. And then we evaluate the robustness. How well does it work? How consistent is it? How do the
4460.84s:  path of returns align with what I'm looking for? Am I comfortable with things like the maximum
4467.56s:  drawdown, those kinds of ideas? How do you test? You can either purchase access to back testing
4474.68s:  software. You can run it in Python yourself. You could probably ask chat GPT or another tool like
4480.84s:  that to help you. You can use something like on demand in thinkorswim. And you can go back in time
4489.16s:  and you can manually test your ideas. This is a much slower process. This isn't the way that I would
4496.20s:  start personally. If you're trying to look through a bunch of different things, there is absolutely
4502.44s:  nothing wrong with starting to do this. If you're not even sure how to test, this will teach you a lot
4508.52s:  going through this specific process. So next, after that, let me slide that there. Come back out of
4518.44s:  on demand. After we go through that testing, we have a selection process where we see what
4526.44s:  structures make sense for us. So I guess this should actually say select structures.
4535.16s:  So you can find the structures that work well for what you're trying to do. And then you can
4540.04s:  codify a rule set around them. This is where we're taking a structure and we're turning it into
4545.16s:  a strategy. So for example, a structure is long call. You can now parameterize that long call.
4552.28s:  And you could say, well, maybe I'll buy it when the moving average slope for 14 day and seven
4560.36s:  day moving averages, they're positive. Okay, that's a criteria you can use. You can tinker with as
4568.76s:  many criteria as you would like. My recommendation is to go through a process where you evaluate
4575.56s:  the efficacy of signals standalone. So what that means is if I want to use moving averages,
4584.12s:  if I want to know if moving averages are an effective tool for me to evaluate this long bias
4592.36s:  directional thing I'm trying to trade. The first thing I'm going to do is go to SSRN type in moving
4598.36s:  average. This is what I see. So the first thing I'm going to do is leverage other people's research
4609.00s:  and piggyback off of it. Okay, let me read all of these and see what they come up with and see what
4614.52s:  I think based on that I will refine the signal itself. And then when I'm baking it into a strategy,
4623.48s:  I will see how it aligns with the strategy. So I guess maybe we can do something like this to make
4631.80s:  it easier. And we'll include a thing in there for testing a signal. So we marry up the structures,
4646.44s:  we marry up the signals, we marry up our management approach, then we determine what fits best
4653.80s:  into our portfolio, and then we start testing it live. So that's like a super broad overview of what
4660.44s:  this process look like. I'm going to take a pause there before we get into an example. And what
4665.72s:  questions do you guys have about this process? What do you guys think about it? Do you, it doesn't make
4673.00s:  sense are there specific components to it that are unclear or things that you want to dive more
4681.32s:  into detail on? Other than Alper who's stoked on Tesla, which is cool. I'm stoked that you're stoked
4696.36s:  on Tesla. Okay, so let's take a look at something not to do.
4713.56s:  This is a great example of what I wouldn't seek to do with any sort of live trade. So you can
4723.08s:  see that we have this person asking if they should roll options to extract profits on a trade that
4731.48s:  they have on. This is quite literally the absolute worst time on planet earth to attempt to figure
4740.52s:  out what to do. Literally about is bad is it can possibly get. So I would absolutely recommend not
4749.00s:  doing that with literally without a doubt. I would not do that.
4758.12s:  Policies how do you choose data providers? That's a great question. So for market data and options
4765.00s:  data, I use CBO, but they're not the cheapest choice. So I do have a couple companies I'm affiliated
4773.24s:  with. They're typically in the description to my videos. Literally the reason why I affiliate with
4778.68s:  anybody is to get people discounts on things. Most of them don't really pay me anything worthwhile,
4785.80s:  but the products that I'm affiliated with that I think are genuinely good are things like Orats,
4793.24s:  Options Omega, Benzenga, BarChart. They all have different options data available to you depending
4799.88s:  on what you're trying to do. But for me personally, I literally go through CBO and I buy their market data
4807.56s:  directly. It is, it's expensive. So if you're not what I would consider to be like a much more
4816.92s:  serious trader, I think using some of those other tools probably be a little more economically viable.
4826.44s:  Nathan asks, when you use Python scripts to test new strat, you ever use LLM type script to
4835.56s:  forecast as well? Definitely. Yeah. And there's no reason not to. So there's a component about
4841.64s:  forward testing that's a slightly different bucket than back testing. I think it's really important
4847.24s:  to back test first to see what you can get to work, to see what kind of aligns with the objectives
4854.92s:  that you have and what fits well with the portfolio. And then you can absolutely start looking at
4860.60s:  forward testing ideas using either some sort of generator or like a random market sampling technique
4867.96s:  that's another really effective one to create like a new path, stuff like that. Ian says, trailing
4875.72s:  stops are they picked at the underlying price or to the option position price either or it
4879.72s:  depends on your broker, but you can set a trailing for either. Good question. Cool. All right.
4890.12s:  Retired. I love that. Ridley truth or I'm glad to know that you are retired. Big fan.
4899.00s:  If you have a call option that doesn't expire for a few weeks months, but you hit your take
4904.12s:  profit early or just an extremely good run goes, do you sell early or is that too vague? No, it's not
4908.76s:  too vague at all. In those instances, I typically use like some sort of trailing stop. That's my approach.
4915.24s:  So for example, T triple queues. I've been buying into this for the majority of the year, but
4921.48s:  definitely a depth of the position started going on as we came out of this drop and kind of
4930.36s:  scaling up towards the end of April beginning of May. So the original price target that I had
4938.20s:  essentially was taking it from 60. And what I do for these kinds of price targets is I go further
4944.04s:  out in time. So like two years, I have to go even further. Let's go to five years. So what I do is
4949.56s:  I say, what references do I have to other perspective support and resistance? So you can see that
4956.12s:  there's some congestion here at like the 68 handle. You can see some congestion here at the 75
4963.08s:  handle. So what I did in this case is as I was buying in, I already had an existing position from
4968.52s:  down here. I took it to the downside got stopped out in this space, waited for recovery,
4973.56s:  started to see a recovery here beginning of May and of April. And then I set the initial profit
4979.24s:  target of 75 bucks. So that's the give me an idea of where I'm trying to take this thing to,
4985.16s:  how I'm trying to ride it. And then when it hits 75 bucks, I don't just take the trade off
4991.40s:  because it's doing what I want as long as it continues to do what I want, I absolutely would
4997.40s:  not take the trade off. But what I do is I start setting stops. So in this case, the initial stop
5004.76s:  that I use specifically in T triple queues was when either I had a greater than 3% drop within an
5011.80s:  individual day or if price fell below the 14 day MA and a 20, I think this one's a 20,
5021.64s:  let me see this one, 22. And or price falls below a 14 day MA with the 22 negative sloping.
5031.56s:  So this one stopped me out on the severity of the entry day move. And that's why I
5037.96s:  accident. And that's why I ended up re-entering today because it started essentially behaving as it
5042.92s:  should yet again. So I would not arbitrarily take the position down though. I think that that kind of
5049.40s:  does you a disservice. And for me, like I said, I typically like to use something like a like a
5057.56s:  10 day 11 day 14 day, there's a million combinations. I'll get rid of this seven though,
5063.96s:  just so it's a little less noisy to give you an idea. The other thing I do like to use though
5070.04s:  is the the slope of moving averages. So the fact that that seven day MA essentially turned negative,
5077.40s:  let me go back and add it back in. I just want to show you specifically what I was looking out there.
5085.24s:  So I want this to be seven. And then I'm going to make this bad boy red.
5100.44s:  So the reason by the way that I do like red for this is because since I have like multiple moving
5107.08s:  averages, it literally helps me track a little more cleanly like Roy G bib. That's the old
5117.80s:  Roy G bib. So in this case, you can see that this had a big negative day, but the seven day MA
5126.28s:  slope was still positive. Then you can see that this also had a pretty big red day, but the seven
5132.84s:  day MA slope was still positive. In this case, the seven day MA slope literally flipped negative.
5141.32s:  So that is not something that I take lightly. There's other tools that I use, but in this case,
5149.72s:  that's essentially a big part of the trigger. That's also why up here, as you can tell, like I actually
5156.68s:  have the various MA slopes. And you can codify this in essentially however you want. Let me see if
5164.28s:  I can find it. This one. So I have MA slopes for all different periods. So like I can add the
5172.76s:  seven day back in. And then essentially, I would add it down here as another input into this, but
5181.72s:  that's the idea at least behind using the moving average slopes. So yeah, long answer with a little bit
5190.60s:  of specifics around this example. But if I hit the profit target early, I do not immediately take the
5198.68s:  trade down. The trade is doing what I want. I want to let the trade work for as long as I can,
5205.00s:  as long as it continues to do what I want. That's the idea.
5212.60s:  Dr. Zayah says, what effect is price movement in the underlying have on each exploration cycle
5217.08s:  of the options chain nearest expirations will experience more change relative to the longer data,
5221.00s:  right? Sort of. Not inherently. So what example would I give you that would qualify the not inherently
5233.00s:  part? Do you have any ideas? And in the meantime, I'll pop this open and see if I can't add that
5247.08s:  that other slope in here. So what other criteria can you guys think of that would lead what they're
5256.60s:  talking about to not always be the case? Dr. Zayah says, I didn't have a ticker in my, no, no,
5263.48s:  it's not specific to a ticker. What I'm actually talking about is a broader topic. It's, yeah,
5271.48s:  it's definitely not something that's specific to a ticker, actually literally at all. So yeah,
5278.28s:  you don't have to worry about that. That's not what I'm referring to here.
5284.92s:  Volume, nope, not volume. Good guess, but that ain't it.
5292.28s:  Earnings, nope, not it either. Interesting. Very interesting. So no, the way to think about it is,
5299.56s:  I want you guys to think about Delta. And I want you guys to think about gamma. So where
5308.28s:  is Delta and where is gamma? How would those impact the decision on where we would see this example
5320.28s:  where I'm talking specifically about longer dated options, actually seeing potentially more of a
5329.16s:  move as compared to the shorter dated options? It is tied completely to Delta and to gamma.
5344.04s:  So what do you guys think? There's a specific timeframe that we would see the options move a lot more
5353.88s:  on a relative basis as compared to other time frames, but it can flip when we look at something like
5365.00s:  Delta and gamma. Any ideas you guys?
5372.68s:  And in the meantime, we got our script back up so that you guys can see those other slopes. So
5379.16s:  you can see the seven day, 22 day, 50 and 200.
5384.36s:  Intrinsic value is not correct. Benoit is the closest so far with closer to add the money.
5390.76s:  So let's take a look at an example. Let's pick a stock, pick a stock, any stock.
5397.64s:  And let's go back in time. Roaring TD says I'm not, I'm not sure I understand the question. Yeah,
5402.76s:  let me clarify. So I have to go back up. I lost the question. So Dr. Zeyes asked what
5409.64s:  effect is price movement in the underlying have on each expiration cycle? The nearest
5414.44s:  expiration will experience more change relative to longer dated. So what he's asking is if the price
5423.48s:  in we got to pick something else, let's look at Lulu. So if the price in Lulu moves either direction
5431.48s:  up or down, they're postulating that that movement will impact the shorter term
5437.96s:  expirations more than the longer term expirations. And it's partially correct, partially incorrect.
5447.24s:  So I'm asking you guys to decipher the difference. What element of it is partially correct?
5453.00s:  And what element is partially incorrect? Carlos speculates theta, which would be a great example
5459.56s:  of an incorrect answer. Rises via gamma, yes, percentage wise, closer.
5468.52s:  Closer. Dr. Zeyes says thank you for deep diving this love. And yeah, this is, it's a great question.
5473.40s:  This is, again, this is how people learn. So let's take a look at an example.
5479.40s:  If I buy this 350 call, and let's pretend we're in an alternate universe, where Lulu catches a
5488.12s:  bid and it goes up. Right now, I buy these for $3.90 at the mid. Okay. What happens if I go out
5499.64s:  431 days and I buy these 200s. And I buy these for 160, a 83 way more expensive.
5516.44s:  If we get a dollar move in Lulu, which one of those positions make more? Is it the 200 call
5524.44s:  that's out 431 days? Or is it, I forgot why expiration were in or the 350s that are at a 46 delta
5533.56s:  with four days to go. These are about as close as you can get before expiration.
5537.72s:  Which one of those would move more? Delta J, bingo. That's the first part of the equation.
5548.44s:  Right. Delta, go back to the basics. Delta tells us the rate of change of in options premium.
5557.00s:  Res says front experee, bad timing because you are wrong. And that sucks. It sucks to be wrong.
5567.80s:  Now, actually, we can, we can make res partially right here on a relative basis in terms of the cost
5574.92s:  of the option. They might make more money. That could be, but not in terms of a gross dollar amount.
5583.08s:  So these would make less money. Why? Well, they have a 46 delta. So if Lulu goes up one dollar,
5594.44s:  let's just say that these are $4 for ease. Let's say you bought them at $4. If it goes up $1,
5600.92s:  these would give you 46 cents of profit. So your $4 are now worth $4.46. You've made $46.
5611.96s:  We go out here, 431 days back into the 90 delta to the 200s. If Lulu goes up a dollar,
5620.60s:  you've made $90. Your way further out in time, but it is a 90 delta. So that means is Lulu moves up
5630.60s:  by $1. These options make 90 cents. The front expiration in that example, you've made 46
5639.88s:  cents or 40 whatever sense it was. So that is a prime example of how going further out in time,
5649.56s:  you can actually make more money than the near term. Benoit says, but those are hugely different
5656.84s:  position sizes on an equally on an equal equity basis sooner x-rays would always have a larger move.
5665.16s:  If you were to isolate it in that sense in terms of a percentage gain, yes. Well, it also would
5671.96s:  depend on how far out you go, right? It's a bit of a sliding scale. So for example,
5678.44s:  you can have a smaller variance between the options between the expirations, but yes,
5686.04s:  absolutely. Your point is correct. On a percentage gain, you will see larger percentage gains
5694.28s:  on shorter dated options. But again, this is the important part of being a thinking trader,
5701.08s:  right? Because the name of the game at the end of the year isn't, what is the percentage gain
5706.84s:  on the portfolio? Would you want a 100% gain on a $1 portfolio or a 10% gain on a $100 portfolio?
5716.12s:  I would absolutely take the lower percent return on the larger principle yielding a larger dollar
5724.76s:  amount. So that's what I look for, even when I'm structuring things like my GameStop
5730.84s:  trades that I'm putting on. That's why I'm going further out in time is I'm going further in
5736.04s:  the money. I'm not going far out in time and then hanging out here in the ether because to a lot
5743.56s:  of your guys' point, which you're seeing very well, these will have a lower gamma. So these won't
5749.48s:  move as much. But if you have a high delta, you don't care so much about gamma because once delta
5756.52s:  gets to one, that's all it can do. So gamma only starts to hurt you at that point if it goes against
5763.16s:  you, meaning if the underlying goes against you and gamma builds. But you might pay a larger
5771.24s:  principle up front, but it's also a little bit of a deductible because you're going really far
5777.32s:  in the money. There's a lot of intrinsic value. So if the underlying doesn't move, let's say it stays
5783.08s:  flat or goes up slightly, your extrinsic value, your cost of holding that position is not that high.
5791.00s:  Now you are paying a larger gross amount. So if the underlying is a big sweeping move against you,
5796.68s:  you do stand to lose more money. But again, that's the nature of being a trader. If you have an
5802.36s:  option that's at a one delta and you let it become a 30 delta, you've grossly fucked up. You've
5810.20s:  not done your job as a trader. So the way to think about aspirations is it's part of the equation
5820.12s:  along with delta's. But you can have longer expirated options that make more money than near term
5828.68s:  expiration options entirely possible. And you can have vice versa. You can have the inverse.
5833.48s:  You can have a near term option that makes a larger gross dollar amount than a longer dated option,
5839.48s:  also entirely possible. So delta is going to be one of the primary inputs you need to look at.
5846.04s:  Gamma is the next input that matters a lot.
5852.28s:  Benoit says, how do you think about capital allocation then? I generally try to be almost
5856.60s:  completely allocated. So I'd rather have the larger percent move if I have all my funds allocated.
5863.80s:  Do you? Is that actually what you would want? Which scenario would you make more money?
5870.84s:  So if we put equivalent size positions on and there's a specific trade off and the point
5882.44s:  emerges sooner or later that you'll notice. Let's go back to Lulu and let's pretend we're
5888.60s:  structuring a trade to the downside because Lulu cannot catch a bid quite literally to save
5895.64s:  its life. So let's say you want to trade Lulu to the downside. And you want short term dated
5902.52s:  options because they expand more, but we're going to buy puts and let's say let's just pretend
5907.80s:  that this was more liquid. It's kind of super illiquid, but let's just pretend it was liquid.
5912.76s:  And let's say that we want to buy these 280s. We'll analyze that.
5918.36s:  We do our risk profile. And then let's say that we want to go 98 days out and rather than those
5925.08s:  280s, we buy the trifitties, analyze that. So now the first thing you could do to your point is
5933.64s:  you can say, well, I would want to put on the same size position. Okay. So then I'll let the dog in
5939.72s:  one second.
5948.04s:  Oh my god.
5950.04s:  Here he is. In all his glory, I literally have to change this so that you guys can get a peak.
5958.20s:  All right. So here he is. He's ready to teach about options. He's well versed. Thank you.
5965.88s:  And he's ready to talk about shorting. Hey, attention. He's
5970.92s:  all right. So he yawned some. The reason why he's yawning is because he's used to this. He kind
5975.00s:  of knows all this stuff. So he's a little bit bored. That's what I think. But we'll proceed anyways.
5985.00s:  So you could say, I want to structure these same size position. And you can do that. But let's talk
5991.72s:  about that in a second. Let's see what size move. If you just look at them at a one-to-one basis first
5998.52s:  and you'll see why I'm doing this. Let's see what size move you need in order for these near
6004.28s:  dated out of the money puts in order to make more money than the in the money puts. So in order
6012.60s:  to help us visualize that, I'm going to add a few different standard deviations. I'm going to use
6020.04s:  plus one and minus one. And this is just standard deviation move of the underlying price plus two
6030.52s:  minus two plus three minus three. Okay. So let's see. At a minus one standard deviation, you make
6041.88s:  three 17. At a minus two standard deviation, you make 1058. And at a minus three standard deviation,
6048.60s:  you make 2042. Now let's go back to this one. If you make a one standard deviation down move,
6054.84s:  you make 784. So 784 compared to 316, 317, you make more here.
6064.68s:  1777 on a two standard deviation move compared to 1053. So you still make more here.
6072.36s:  And then on a three standard deviation move, you make 2800 here versus 2000 here.
6079.16s:  So on a non similar size position in terms of capital outlay, but on a one to one basis,
6089.80s:  you can see how the short dated option will compound much more given in a accommodating move.
6097.64s:  However, it won't outpace the profit side. So let's take a look at the next component then,
6108.76s:  which is you have the ability to size this trade up. Right. So if this cost me 6,345 bucks for this
6116.68s:  one individual position, you could put on like 63 of these. You could put on a ton. So that starts
6122.52s:  to look really good, doesn't it? Because then you can say, well, well, shit, if I get a one standard
6127.88s:  deviation move in my favor, I make 20 grand on the same size position. That seems fantastic. Does it not?
6138.76s:  Not so much. Why is that? Well, there's a really, really important difference here. Take a look
6146.36s:  at my theta on this trade $4.99. That's on my one lot. If I do the same size trade,
6156.52s:  my theta is $1,144. So you can make way more money if you get your move in the correct amount of time.
6169.40s:  If you don't or if it's not a big enough move fast enough, theta will completely eat your lunch.
6179.56s:  And as time passes, so let's say your move doesn't happen on the first day, notice what just happened.
6188.52s:  If we look at, I want to see if I can keep that highlighted. If you're $20,000 profit there,
6194.60s:  it just turned to $18,355 one day later. One day later, your max profit on that one standard deviation
6205.24s:  move just went down $1700. If it's two days later, it just went down another $4,000.
6216.52s:  This is exactly the issue and this is exactly the trade off. So going back to your question,
6223.80s:  Benoit, for me, I focus more on what kind of risk makes sense for my thesis and then structuring
6235.40s:  a position around that. So Benoit, if you take a look at that video that I made or the video I
6244.20s:  shared earlier, it walks through how I think of this. So Benoit says this is just another
6251.56s:  rehash of the buy better calls video. That's exactly correct. Yep, that's exactly correct.
6255.88s:  And it's because the way I think about it is it's not saying that further out in time is better.
6260.84s:  I don't want anybody to think that that's the conclusion I'm trying to draw with you guys because
6265.16s:  it's not, it's genuinely not what I'm trying to summarize to here. What I'm trying to summarize to
6270.68s:  is that based entirely on your expectations in disposition as a trader, you need to build and
6280.04s:  structure a corresponding trade that makes sense for you. That's the entire idea.
6288.52s:  So that is the punchline, at least to that question. Benoit, let me know if that makes sense.
6295.96s:  I have to turn off my house's air because it's blowing like crazy. You know, chill house.
6305.72s:  Any other questions on that? That was a great question, by the way, though. I'm really,
6311.24s:  really stoked. Okay, cool. So it sounds like that connected. Great. Sweet.
6317.48s:  So let's go back and kind of finish a quick walk through then of this example of this year,
6325.64s:  building a strategy. So let's say that I want to trade stuff to the upside. If I'm looking for
6331.64s:  some sort of breakout idea and let's say you do a bunch of homework and you identify,
6338.20s:  you know, as you're going through SSRN and you're looking at all these different kinds of things.
6343.00s:  Let's say that you find that stocks that are making 52 week highs tend to have a drift component to
6351.64s:  them and to continue to make relative highs. And if you're kind of picking up what I'm putting down,
6359.88s:  that's it is an effect. I know it exists. It's a momentum effect. It's called a momentum
6364.04s:  premia. There's different ways to capitalize on it. So I'm giving you an example of a already baked
6372.28s:  profit function, which is what this is. So from there, the first step here, let me see if I can
6381.00s:  like shrink this and keep it as we look through this. This might be like really difficult for you
6386.20s:  guys to see. So I'll kind of like talk about it as we look at stuff. But the purpose of the
6391.88s:  strategy in this case is we're building something that allows us to capitalize on upward price
6396.92s:  movement. We don't care yet if it's long premium, short premium, doesn't matter. We just want
6404.28s:  something that allows us to make money if stock goes up. The profit mechanism that we're talking
6409.56s:  about, the direction is up. And we're looking for something that exhibits momentum premia. So
6416.04s:  we now need to, I guess, we need to do like this is really where signal test would make sense,
6425.96s:  wouldn't it? I think that makes way more sense. Yeah. And then this would be more like a signal alignment.
6437.48s:  So Ridley says, so identify catalysts first, definitely. So the very well, kind of the second
6449.48s:  step for me is to identify a profit mechanism. What do I think I can make money from? So again,
6456.04s:  in this case, we're talking about trying to trade something to the upside. So I would need to test
6462.20s:  that signal. And there are different ways I can think about qualifying and quantifying that profit
6469.72s:  mechanism. So I can look at again, this one is kind of already done for the sake of time.
6475.88s:  But you can look at the performance of stocks. Let's say that have the highest PE ratios or the
6482.36s:  lowest price to book ratios or the lowest price to earnings growth ratios. If you wanted to use
6487.72s:  some fundamental tools, you could use stocks that are trading above 50 moving averages.
6498.20s:  So what I'm highlighting there is you can gain exposure to a lot of different things.
6505.40s:  And depending on how you want to quantify it, you can access it in slightly different ways.
6512.36s:  So in this case, like I said, I'm kind of giving you a already baked concept. And it's really just so
6520.76s:  that you can have an idea of what this looks like. So if I'm looking up this momentum premium idea,
6529.48s:  there's a couple of things that matter a lot to me. So do I still have this open?
6535.40s:  I don't hear. We can use what I'm doing is I'm going through like my litany of studies.
6547.56s:  And I'm finding examples of momentum premium like this here.
6559.48s:  So this is an example of momentum premium. You can look for things that have specific parameters
6565.64s:  for an earnings release. And then you can essentially trade it in a bunch of different ways.
6578.44s:  I'm texting my wife real quick. She's
6583.96s:  hungry. So I just ordered her dinner. So in this case, you can look at host earnings and there's
6592.68s:  a bunch of different criteria that can be met and that becomes your signal. So things that have a gap
6599.56s:  up, things that tend to be smaller market cap stocks, meaning not mega cap stuff like that becomes
6607.16s:  part of your signal. And then you can test that any way that you want. So now let's use the next
6615.08s:  part of this example. We want to trade things that go up. We know that we're trying to do some sort of
6621.56s:  momentum premium play. And in this example, rather than P, we're using the 52 week high criteria.
6628.52s:  We now can build a list of structures that allow us to trade to the upside. You guys already
6635.64s:  did this actually. So if you think about this kind of thing, what structures can apply here?
6642.28s:  Walk me through what you think what you think makes sense.
6654.04s:  And then in the meantime, Roy and Titi says, how do you do that for mergers acquisitions? You
6657.40s:  literally can test. You can find, you can create an entire list of companies, public companies that
6663.48s:  have undergone M&A. And then you can look at price behavior pre-post volatility behavior pre-post.
6669.88s:  It's exactly what I would do. It's another very tradable thing, by the way. And also you can very
6675.08s:  frequently detect when there is a perspective M&A process underway. If you take a look at the
6683.88s:  options chains, which are mega, mega informative. So to recap the other structures that you guys
6692.44s:  already listed, there are things like long calls, buying shares, short puts. All of those can make
6698.68s:  sense if we're trying to trade something directionally to the upside. Okay, cool.
6704.04s:  So now we need to test them. So this is where I would run it through a series of back tests.
6710.92s:  The first thing I would do is say, okay, maybe for this 52 week high, I would look at sorting all
6720.44s:  stocks that are optionable. And in this case, I'm using weeklies just for liquidity measure.
6726.28s:  I'm going to sort them by those making the highest 52 week highs at a given point in time.
6732.44s:  And I'm going to essentially simulate purchasing the top 10 of them, the top
6738.84s:  desiolate if you're selling client or really whatever number you want. And I'm just going to focus
6745.00s:  first on using the underlying itself, meaning buying shares. Or if I wanted to trade it to the
6752.28s:  downside, shorting shares. Why would I do that if I'm testing kind of the profit potential?
6761.32s:  And the ideally testing a bunch of different structures, why do you guys think I would do it that way?
6769.64s:  Starting with just the shares. Any ideas? There's a very specific reason.
6782.28s:  Because it's at the high. So it's uncertain. It's a good question, but no, that's not it.
6793.88s:  If it will break out, better risk management, another great guess, but also not correct.
6798.52s:  It's because I'm starting with this simplest concept. That's it. Shares are the simplest ways
6804.44s:  to trade this. So right now, I'm just trying to understand, based on this profit mechanism that I
6811.88s:  think exists that I've tested with a couple different signals. I want to see how it performs if I
6817.64s:  just use the underlying, because remember, options essentially are just amplified versions of the
6825.08s:  underlying with a bunch of additional rules. So for example, if I buy shares and I make money with
6831.80s:  this structure, well, that already tells me something. It means that if I use options, it'll make
6837.40s:  money. It means that if I sell puts or buy calls, it'll make money. I already know it makes money
6844.28s:  because it makes money if the underlying goes up. But it becomes an assessment of quality.
6850.52s:  So for example, if I test long shares and I want to test holding for a week, two weeks, a month,
6859.32s:  two months, three months, six months, 12 months, something like that. I'm going to look for trends
6864.20s:  across all those different timeframes. And then I'm going to say, okay, well, it seems like,
6870.20s:  based on this smattering of underlines that I bought, I would run literally a regression to see
6875.32s:  one what the correlation is in terms of what timeframes make the most sense to hold and what kind of
6881.16s:  traits tend to perform the best. And then I can overlay and build some sort of option equivalent to
6890.12s:  that. It's harder to back test. Now, if you have the savvy, it's not that difficult. But
6898.20s:  you can absolutely use that as a starting point. And if you notice that your long shares make money.
6905.48s:  And let's say that on average, you see a 5% drift over the following month.
6914.60s:  Well, now you have something to work with because if I know that there's a 5% average drift over
6921.00s:  the course of the following month, now I can say, well, does it make more sense to buy calls or more
6927.96s:  sense to sell puts? And you can do a simple comparison. So let's use this as an example. Let's say
6938.44s:  that we want to use VRT. And if I know that over the month, it's probably going to go up by 5%.
6950.44s:  I could sell puts, let's say that I want to postulate selling like a 30 delta put here,
6957.72s:  collecting like 435 ish. And then let's say I want to buy a 70 delta
6965.72s:  call or I'm sorry, 70 DTE. You have 70 delta makes sense here, like 75 delta maybe.
6973.72s:  Do like a 72 delta call. And it's 15 55. So here's the first thing I need to determine.
6983.08s:  Based on the position here, which one do I like more? Do I want to outlay 15 55 bucks? Maybe,
6992.12s:  there's nothing wrong with that if your portfolio has room for it. Or you'd have to see what the
6997.00s:  margin requirement is for the 42 and a half put, which in this case, it's 8,250 bucks.
7006.20s:  So in terms of capital utilization, you actually can use more from the long calls. And again,
7011.56s:  maybe it doesn't matter to you. Maybe you have the margin in there and you just don't care.
7016.76s:  But now we can then assess, well, if we get our 5% move, how does my short put do? I make $119
7026.28s:  on my 80 to 50 outlay. If I get my 5% move to the upside on the calls, I get $336.
7036.28s:  And there's no margin requirements. You're going to pay for it in cash, which is 15 55.
7041.24s:  So if you get your 5% move, which one of these is actually better? Well, if it moves in your
7046.44s:  favor, unequivocally, you make more money with the long calls. This is how you back into what makes
7053.56s:  sense. So now I would overlay the risk management. Let's say that I'm going to manage risk here
7062.36s:  at 8560, just because I think if it drops below that, it looks like it would probably head towards
7072.20s:  8224 and I don't want to take it that far, whatever. So let's call it if there's a close
7079.32s:  below 85. So now what we can do is we can say, all right, well, if price goes to my stop point of 85,
7091.64s:  how do these perform? The long call, if it goes to, I guess I should, wait, oh, duh, I'm an idiot, sorry.
7102.36s:  My bad. If it goes to 85, in this case, you lose 325 bucks. And in this case, you lose 165.
7115.88s:  So you lose more money here if you get stopped out, but you also have the potential to make more money.
7123.88s:  So this is looking closer to a one to one, risk to reward profile. This is looking like a sub one,
7131.32s:  risk to reward. This is the risk profile tab. Mrs. Royantity. This is someone. So now we have to
7141.00s:  take the next step, which is what's the probability of us getting this 5% up move versus this 85% or
7149.00s:  I'm sorry, this 85 price point stoppage. So now we can go to probability and we can look at the
7155.88s:  probability of a touch. And we can look over the next month for like a normalized time frame.
7164.60s:  So using like the 16 aug maybe. And what's the probability of us being stopped out to the downside at 85?
7174.84s:  It is 83%. And then what's the probability of us hitting that 95 handled to the upside?
7183.16s:  to about 78%. So now guess what? You literally have just created the input
7194.92s:  to a very important calculation, which would then be codified across all of the different strategies
7202.12s:  that you use, which is expected return, which is somewhere in here. I just don't know where.
7212.60s:  Where is that pesky expected return? Oh, I think it's up here more.
7225.32s:  Ah ha, finally, sorry. That took a second to get to. This right here.
7233.16s:  So you now know what your win price would be. You now know the probability of getting that win.
7240.28s:  You now know what the loss would be. And you now know the probability of that loss.
7245.96s:  So you literally have all of the tools to answer this exact question of which of these strategies
7255.16s:  makes more sense in this individual trade. Now this is evaluating it against the concept of an
7260.44s:  individual trade, which ideally you would apply the structure then strategy way more broadly.
7271.24s:  And you would have much more of a codified approach. But that's literally an overview of this
7279.56s:  process kind of from start to finish. So I will take a pause there and see what questions you guys have.
7287.48s:  Anything in there that you want to dive a little bit deeper into. I am getting ready to order my
7292.84s:  dinner now, but it's not going to be here for at least a minute. So we can take a look at
7300.52s:  anything else that you guys would like to hit. We're doing I'm doing old spaghetti factory tonight.
7315.08s:  That's the move.
7320.20s:  Cool. Well, it looks like there are no questions popping up. I'm happy to hang out for a couple more
7327.24s:  minutes if you guys have anything that does pop up. Yeah, let's take a look.
7334.76s:  A count guy to says, could you look at my question above about the parameter? I didn't see it. Can
7339.16s:  you post it again for me down here? I totally missed it. And then in the meantime,
7344.92s:  Banner, Vera, Plains. I like your plans to you.
7348.76s:  Is can you talk about cash secured puts? Yeah, sure. What about cash secured puts?
7354.36s:  Let me know what you want to dive into. Chewie says does that work with your DTE? Of course.
7360.92s:  The process is agnostic to everything. It's again, it's a probabilistic assessment.
7368.12s:  But yeah, the process itself is essentially standardized. So that's the point of building an
7376.60s:  approach like that is you don't have to go through a lot of different stages realistically.
7384.52s:  You can kind of codify what works well to test a lot of different concepts. So
7392.84s:  a fan of airplanes, what's your approach for using CSPs? Really, I only use them as part of the
7399.80s:  coverage triangle. And that's if I'm looking to accumulate positions, it's less so as a method
